Comment,Designator,Footprint,JLCPCB Part #（optional）
0,"R6, R7, R13, R16",RESC0402(1005)_N,C17168
0.1uF,"C4, C6, C7, C9, C19, C24",CAPC0402(1005)_N,C1525
0.3,R12,RESC1206(3216)_N,C149674
1K,"R1, R2",RESC0402(1005)_L,C11702
1uF,"C12, C13",CAPC0603(1608)_N,C15849
2N7002,"Q1, Q3, Q5, Q6",SOT23,C8545
5.1k,"R10, R11",RESC0402(1005)_L,C25905
10K,"R5, R17, R18, R22, R23, R26, R27",RESC0402(1005)_N,C25744
10uH 1.9A,L1,INDP6060X29N,C842750
22uF,"C2, C3, C8, C10, C15",CAPC0805(2012)_M,C45783
33,"R28, R29, R30, R31",RESC0402(1005)_N,C25105
40V 2A,D1,SOD123,C111630
0402WGF1002TCE,"R3, R4, R14, R15, R19, R20, R24, R25",RESC0402(1005)_N,C25744
600mA Fixed 3.3V,U3,SOT95P285X130-5N,C51118
1054500101,CN1,USB-TYPE-C MOLEX 1054500101,C134092
CAP 10UF 10V 10% X5R 0603,C1,CAPC0603(1608)_N,C19702
CH340C,U2,SOP-16,C84681
FSR06BE,CN2,FSR06BE-Footprint-2,
G,LED2,SM-LED-0603,C5151481
G,LED1,SM-LED-0603,C5151485
MK-12D18-G020,SW2,MK-12D18-G020,C3019727
MMBTA06,"Q2, Q4",SOT23,C713285
RST,SW3,TS-1088-AR02016,C520860
Shark Tooth,ST1,SharkTooth,
TP5400-ESOP8,U1,SOP127P600X175_HS-9N,C24154
U/ESP-12F,U4,U/ESP-12F,
XH-3A,"CN3, CN4, CN5, CN6",XH-34,C2908601
