Altium Designer Pick and Place Locations
C:\Users\livin\github\led_jewlery\EE\esp-neopixel-driver\Project Outputs for esp-neopixel-driver\Pick Place\esp-neopixel-driver.csv

========================================================================================================================
File Design Information:

Date:       29/05/23
Time:       21:23
Revision:   c1a5529af1d1a6fd5c9c5cc2c27bf71c2552ebc1
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C4","30.7340mm","17.7800mm","TopLayer","0"
"C9","7.7470mm","20.8280mm","TopLayer","180"
"C7","11.3030mm","8.0010mm","TopLayer","180"
"C24","27.5590mm","5.7150mm","TopLayer","270"
"C19","25.0190mm","24.0030mm","TopLayer","0"
"C6","23.4950mm","9.9060mm","TopLayer","270"
"C1","22.4790mm","20.5740mm","TopLayer","0"
"C13","9.0170mm","24.2570mm","TopLayer","270"
"C12","14.4780mm","24.3840mm","TopLayer","90"
"C10","22.0980mm","23.8760mm","TopLayer","180"
"C15","6.8580mm","18.9230mm","TopLayer","180"
"C8","6.8580mm","16.3830mm","TopLayer","180"
"C3","25.1460mm","10.7950mm","TopLayer","270"
"C2","27.5590mm","10.7950mm","TopLayer","270"
"CN2","16.8910mm","16.1290mm","BottomLayer","270"
"L1","12.5730mm","16.5070mm","TopLayer","90"
"SW2","29.8450mm","12.3190mm","TopLayer","90"
"R1","1.9050mm","15.4940mm","TopLayer","0"
"R2","24.2570mm","16.8910mm","TopLayer","90"
"R11","12.0650mm","1.9050mm","TopLayer","0"
"R10","11.3030mm","6.7310mm","TopLayer","0"
"R5","7.7470mm","28.8290mm","TopLayer","0"
"R31","24.7650mm","34.7980mm","TopLayer","90"
"R30","24.8920mm","29.7180mm","TopLayer","90"
"R29","18.2880mm","34.7980mm","TopLayer","90"
"R28","18.5420mm","29.5910mm","TopLayer","90"
"R16","18.4150mm","25.1460mm","TopLayer","90"
"R13","18.2880mm","32.8850mm","TopLayer","270"
"R7","24.7650mm","32.8930mm","TopLayer","90"
"R6","24.8920mm","27.6860mm","TopLayer","90"
"R27","7.6200mm","27.4320mm","TopLayer","0"
"R26","7.4930mm","23.7490mm","TopLayer","90"
"R25","19.8120mm","33.6550mm","TopLayer","270"
"R24","22.2250mm","31.3690mm","TopLayer","0"
"R23","19.9390mm","31.3690mm","TopLayer","90"
"R22","10.2870mm","35.6870mm","TopLayer","0"
"R20","19.9390mm","29.0830mm","TopLayer","90"
"R19","22.7330mm","25.9080mm","TopLayer","0"
"R18","7.2390mm","30.7340mm","TopLayer","270"
"R17","11.6840mm","33.5280mm","TopLayer","90"
"R15","13.7160mm","32.0040mm","TopLayer","90"
"R14","16.1290mm","31.1150mm","TopLayer","0"
"R4","13.7160mm","29.4640mm","TopLayer","270"
"R3","16.3750mm","25.6540mm","TopLayer","0"
"R12","18.1610mm","20.5740mm","TopLayer","0"
"ST1","13.0940mm","18.6690mm","BottomLayer","0"
"LED2","2.6280mm","16.8910mm","TopLayer","180"
"LED1","2.5790mm","18.6690mm","TopLayer","180"
"D1","19.9390mm","12.5730mm","TopLayer","0"
"U1","19.7430mm","16.6370mm","TopLayer","180"
"U2","18.4150mm","5.8420mm","TopLayer","270"
"Q6","22.3520mm","33.7820mm","TopLayer","0"
"Q5","22.6060mm","28.5750mm","TopLayer","0"
"Q3","16.0020mm","33.5280mm","TopLayer","0"
"Q1","16.3830mm","28.3210mm","TopLayer","0"
"Q4","10.1600mm","30.3530mm","TopLayer","90"
"Q2","8.6360mm","33.6550mm","TopLayer","270"
"U3","11.9380mm","24.0030mm","TopLayer","90"
"SW3","25.2730mm","3.8100mm","TopLayer","270"
"U4","16.5090mm","29.7970mm","BottomLayer","180"
"CN1","5.5880mm","5.7150mm","TopLayer","270"
"CN3","4.1770mm","25.1168mm","TopLayer","90"
"CN6","28.8290mm","36.5760mm","TopLayer","270"
"CN5","28.7020mm","25.1168mm","TopLayer","270"
"CN4","4.1910mm","36.5760mm","TopLayer","90"
